#,categories,brands,products,publishedPosts,scheduledPosts,plan
1508,111,23218,42132,0,0,Free
4649,15,7,2534,0,0,Free
1688,29,4,643,91,0,Free
3958,1,1,3,0,0,Free
3249,23,1,2290,0,0,Free
3250,26,1,1706,0,0,Free
1243,13,3,250,1,0,Free
1378,199,209,480,0,0,Free
16,51,1,2,12,0,Free
927,138,141,2775,1275,21,Free
538,41,101,552,0,0,Free
4244,18,1,147,0,0,Free
1646,23,1,296,0,0,Free
1481,2,7,101,180,0,Free
25,468,15,2516,64,0,Free
968,73,184,1687,407,0,Free
2138,4,1,16,0,0,Free
700,13,2,50,10,0,Free
1008,973,60,16865,6170,1760,Free
886,49,1,234,8,0,Free
1775,15,3,43,27,0,Free
4205,5,3,79,5,0,Free
2428,14,1,30,0,0,Free
4552,2,3,20,0,0,Free
2973,5,1,40,0,0,Free
539,39,101,399,0,0,Free
3203,6,1,74,0,0,Free
1275,49,10,775,0,0,Free
2790,14,1,271,0,0,Free
704,8,36,51,2,0,Free
795,18,14,224,0,0,Free
2853,9,34,23,2,0,Free
2925,4,1,22,92,0,Free
2839,107,43,2652,4650,0,Free
3421,4,1,3,2,0,Free
1954,30,52,875,0,0,Free
4507,5,24,84,0,0,Free
730,36,23,164,0,0,Free
1687,30,4,643,4,0,Free
1582,65,23,6758,1,0,Free
4190,11,1,1,0,0,Free
518,27,2,22,60,0,Free
1466,18,12,128,228,0,Free
4437,2,2,0,0,0,Free
962,19,1,316,0,0,Free
1359,12,2,293,0,0,Free
745,202,2,396,2,0,Free
4505,10,3,43,11,0,Free
3896,1,1,14,0,0,Free
1004,71,350,941,0,0,Free
2901,11124,11,4578,0,0,Free
3533,21,1,54,0,0,Free
1005,71,350,941,0,0,Free
1131,55,42,159,0,0,Free
2061,20,1,153,0,0,Free
507,144,376,11446,4,0,Free
1021,20,13,50,0,0,Pro
2377,236,64,29476,3,0,Pro
4864,26,1,216,0,0,Pro
2234,24,1,488,6,0,Pro
2193,12,42,106,59,0,Pro
371,7,3,9,0,0,Pro
4116,11,1,16,0,0,Pro
3569,8,1,32,14,0,Pro
2347,27,30,257,56,7,Pro
549,21,1,50,0,0,Pro
2307,49,64,189,69,0,Pro
2158,17,3,291,270,30,Pro
3498,9,1,36,23,0,Pro
3482,6,1,48,4,0,Pro
3942,33,1,175,0,0,Pro
2529,24,1,251,2,0,Pro
2587,24,1,2377,25,0,Pro
2333,16,2,198,68,8,Pro
3849,13,2,42,1,0,Pro
2195,1,1,10,0,0,Pro
682,87,38,208,80,0,Pro
2854,22,3,448,352,140,Pro
3957,10,3,29,2,0,Pro
4085,8,2,65,0,0,Pro
24,114,30,1274,0,0,Pro
4829,29,1,1989,0,0,Pro
2632,41,1,600,4048,192,Pro
2714,10,4,42,0,0,Pro
3935,68,1,2611,0,0,Pro
3690,1,2,1,26,0,Pro
1716,24,4,413,87,6,Pro
2196,1,1,10,5,0,Pro
3916,2,1,4,0,0,Pro
4826,9,1,191,30,0,Pro
1715,55,3,167,0,0,Pro
4809,6,2,20,32,0,Pro
4825,9,1,191,120,0,Pro
4036,38,3,346,0,0,Pro
289,7,2,145,0,0,Pro
876,21,3,1194,580,72,Pro
3843,49,1,937,0,0,Pro
4720,13,5,223,0,0,Pro
4863,255,1,2798,324,28,Pro
1948,26,101,719,152,0,Pro
3838,24,1,330,85,6,Pro
2249,1,1,3,21,0,Pro
4822,10,1,208,0,0,Pro
883,8,467,192,664,56,Pro
524,227,1,1658,5684,546,Pro
2903,103,1,192,184,0,Pro
4184,61,1,1678,160,0,Pro
2476,14,1,360,204,14,Pro
537,13,1,260,5400,420,Pro
4086,129,48,11234,12,0,Pro
1411,58,2,338,387,0,Pro
2419,6,1,407,55,0,Pro
4792,12,1,410,934,20,Pro
2418,6,1,407,2,0,Pro
3146,4,1,17,168,22,Pro
3595,13,1,133,9537,2728,Pro
378,269,953,23838,2,0,Pro
3299,8,2,27,12,0,Pro
3574,0,13,0,0,0,Pro
3308,9,1,1356,1920,0,Pro
3945,5,2,58,115,0,Pro
420,56,3,279,4975,495,Pro
3212,15,1,218,1090,0,Pro
3400,14,2,257,198,0,Pro
2413,3,1,6,12,0,Pro
3983,5,1,1227,28,0,Pro
839,22,7,4609,609,30,Pro
4178,13,1,2288,0,0,Pro
819,1,1,73,4605,285,Pro
3686,1,1,1,0,0,Pro
4081,1,2,5,0,0,Pro
4803,10,1,36,2,0,Pro
2867,172,14,2243,3381,0,Pro
4444,0,1,1,3,0,Pro
3508,5,2,13,30,0,Pro
2824,0,4,115,13,0,Pro
506,29,4,1016,0,0,Pro
1118,5,5,4,22392,0,Pro
2311,4,1,44,0,0,Pro
3706,6,7,130,12,0,Pro
3510,10,1,209,4,0,Pro
2362,51,1,1872,0,0,Pro
771,58,2,425,54,0,Pro
3390,3,1,16,3311,0,Pro
4804,6,1,19,216,0,Pro
183,65,1,1294,8162,672,Pro
897,364,1,1649,1204,0,Pro
4022,4,2,4,0,0,Pro
212,81,9,692,6678,455,Pro
3888,1,1,1,4,0,Pro
2093,13,1,59,1482,0,Pro
958,110,2,404,142,0,Pro
3355,29,1,3861,798,42,Pro
4866,23,1,47,272,0,Pro
3902,7,1,70,28,0,Pro
4291,8,2,146,452,24,Pro
3671,18,2,228,4608,240,Pro
4183,9,1,21,0,0,Pro
2993,20,1,104,10080,450,Pro
974,4,1,6,630,0,Pro
3501,1,1,122,446,26,Pro
385,271,444,2279,561,42,Pro
2644,256,1,11685,3008,48,Pro
1649,15,2,130,56,0,Pro
2046,7,1,27,195,0,Pro
3833,5,1,24,2,0,Pro
1717,21,4,379,186,0,Pro
4083,15,1,56,0,0,Pro
1829,37,1,79,0,0,Pro
4309,9,1,115,7035,0,Pro
521,15,2,33,1088,0,Pro
4308,8,1,91,960,0,Pro
3840,11,20,48,6,0,Pro
1506,8,2,54,16,0,Pro
2406,14,1,52,40,0,Pro
3607,25,1,132,0,0,Pro
2099,118,1,9318,8730,750,Pro
541,66,2,1648,4176,384,Pro
2744,39,1,1580,472,0,Pro
985,21,17,1056,1988,140,Pro
1264,5,1,122,3,0,Pro
3769,9,1,0,18,0,Pro
1483,40,3,591,4088,200,Pro
3464,0,1,1,0,0,Pro
3334,3,2,3,770,0,Pro
1262,51,1,236,88,0,Pro
816,14,1,463,0,0,Pro
2030,24,2,468,88,0,Pro
173,6,1,248,2472,104,Pro
2159,30,3,241,1210,0,Pro
4381,46,19,142,3696,196,Pro
3770,6,1,20,21,0,Pro
836,37,1,283,2930,55,Pro
1128,52,2,142,3,0,Pro
2479,20,1,221,1620,252,Pro
